Article_Title,Year,Description,Revue,Volume,Number,Pages
Analysis for thermal behavior and energy savings of a semi-detached house with different insulation strategies in a hot semi-arid climate,2017,"Journal of Green Building 12 (1), 78-106, 2017",Journal of Green Building,12,1,78106
Mechanical and thermophysical properties of compressed earth brick rienforced by raw and treated doum fibers,2022,"Construction and Building Materials 318, 126031, 2022",Construction and Building Materials,318,,126031
Composition of pseudo almost periodic functions and Cauchy problems with operator of non dense domain,1999,"Annales Mathématiques Blaise Pascal 6 (1), 1-11, 1999",Annales Mathématiques Blaise Pascal,6,1,111
Feedback stabilization of a class of evolution equations with delay,2009,"Journal of Evolution Equations 9, 103-121, 2009",Journal of Evolution Equations,9,,103121
Almost periodicity of inhomogeneous parabolic evolution equations,2019,"Evolution equations, 299-318, 2019","Evolution equations,",299318,,
Almost periodic solutions to some semilinear non-autonomous thermoelastic plate equations,2009,"Journal of Mathematical Analysis and Applications 349 (1), 74-84, 2009",Journal of Mathematical Analysis and Applications,349,1,7484
Almost automorphic solutions for hyperbolic semilinear evolution equations,2005,"Semigroup Forum 71, 231-240, 2005",Semigroup Forum,71,,231240
Null controllability of degenerate parabolic cascade systems,2011,"Portugaliae Mathematica 68 (3), 345-367, 2011",Portugaliae Mathematica,68,3,345367
Null controllability for parabolic equations with dynamic boundary conditions,2017,"Evol. Equ. Control Theory 6 (3), 381-407, 2017",Evol. Equ. Control Theory,6,3,381407
Linear delay equations in the Lp-context,2019,"Evolution equations, 319-330, 2019","Evolution equations,",319330,,
Lipschitz stability for linear parabolic systems with interior degeneracy,2014,"Electron. J. Differential Equations 2014, 1-26, 2014",Electron. J. Differential Equations,2014,,126
Carleman estimates and null controllability of coupled degenerate systems,2011,"arXiv preprint arXiv:1111.3665, 2011",arXiv preprint arXiv:,11113665,,
Almost automorphy of semilinear parabolic evolution equations.,2008,"Electronic Journal of Differential Equations (EJDE)[electronic only] 2008 …, 2008",Electronic Journal of Differential Equations (EJDE)[electronic only],2008,,
Existence and uniqueness of C (n)-almost periodic solutions to some ordinary differential equations,2007,"Nonlinear Analysis: Theory, Methods & Applications 66 (9), 1899-1910, 2007","Nonlinear Analysis: Theory, Methods & Applications",66,9,18991910
Carleman estimates for parabolic equations with interior degeneracy and Neumann boundary conditions,2018,"Journal d'Analyse Mathématique 135, 1-35, 2018",Journal d'Analyse Mathématique,135,,135
Null controllability of a model in population dynamics,2014,"Electronic journal of differential equations 2014 (240), 1-20, 2014",Electronic journal of differential equations,2014,240,120
Extrapolation and inhornogeneous retarded differential equations on infinite dimensional spaces,1998,"Rendiconti del Circolo Matematico di Palermo 47, 331-346, 1998",Rendiconti del Circolo Matematico di Palermo,47,,331346
Regularity properties of perturbed Hille-Yosida operators and retarded differential equations,2001,"Semigroup Forum 64, 55-70, 2001",Semigroup Forum,64,,5570
Controllability of semilinear boundary problems with nonlocal initial conditions,2006,"Journal of mathematical analysis and applications 316 (2), 566-578, 2006",Journal of mathematical analysis and applications,316,2,566578
Null controllability of a population dynamics with degenerate diffusion,2013,,,,,
